사건번호,물건종류,소재지,감정가(원),최저매각가(원),매각기일,유찰횟수,거리(m)
2024타경13981,아파트,경기도 수원시 영통구 망포동 722 그대가센트럴파크 202동 17층1701호,970000000,970000000,2026-04-20,1,3321
2024타경13516,아파트,경기도 용인시 기흥구 하갈동 383 시더스프리미엄힐 씨동 2층202호,510000000,510000000,2026-04-29,0,3350
2025타경54818,아파트,경기도 수원시 영통구 이의동 1258 광교에코푸르지오시티 에이동 3층302호,185000000,185000000,2026-04-29,0,3432
2024타경98517,주거용,경기도 수원시 영통구 이의동 1248-2 리치프라자3 1층101호,1667000000,1667000000,2026-04-17,1,3460
2025타경56859,아파트,경기도 수원시 영통구 망포동 488 늘푸른벽산아파트 111동 20층2001호,537000000,537000000,2026-04-28,0,3557
2025타경56424,아파트,경기도 수원시 영통구 망포동 810 영통롯데캐슬엘클래스2단지 208동 10층1002호,849000000,849000000,2026-04-22,1,3994
2025타경56334,아파트,경기도 수원시 영통구 이의동 1200 광교2차이편한세상 8502동 9층903호,981000000,981000000,2026-04-22,1,4045
2025타경1220,아파트,경기도 용인시 수지구 상현동 840 상현마을금호베스트빌4단지아파트 133동 11층1104호,803000000,803000000,2026-04-27,1,4147
2024타경6105,주거용,경기도 용인시 기흥구 농서동 452 기흥테라타워현대엔지니어링지식산업센터 9층티-9054호,285000000,139650000,2026-04-21,3,4630
2024타경95747,주거용,경기도 용인시 기흥구 농서동 452 기흥테라타워현대엔지니어링지식산업센터 2층티-234호,554000000,554000000,2026-04-17,1,4630
2024타경7955,주거용,경기도 용인시 기흥구 농서동 455 프리미엄원희캐슬기흥서천 1층엘164호,2147000000,360847000,2026-04-24,6,4742
2024타경10869,주거용,경기도 용인시 기흥구 농서동 455 프리미엄원희캐슬기흥서천 1층엘184호,1050000000,735000000,2026-04-22,2,4742
2024타경63450,주거용,경기도 용인시 기흥구 농서동 455 프리미엄원희캐슬기흥서천 1층엘138호,960000000,230496000,2026-04-17,5,4742
2024타경72119,주거용,경기도 용인시 기흥구 농서동 455 프리미엄원희캐슬기흥서천 지1층비004호,496000000,496000000,2026-04-21,1,4742
2024타경77459,주거용,경기도 용인시 기흥구 농서동 455 프리미엄원희캐슬기흥서천 1층엘107호,1916000000,1341200000,2026-04-27,2,4742
2024타경82680,주거용,경기도 용인시 기흥구 농서동 455 프리미엄원희캐슬기흥서천 지1층비017호,646000000,316540000,2026-04-29,3,4742
2024타경83966,주거용,경기도 용인시 기흥구 농서동 455 프리미엄원희캐슬기흥서천 1층엘135호,1110000000,1110000000,2026-04-17,1,4742
2024타경84105,주거용,경기도 용인시 기흥구 농서동 455 프리미엄원희캐슬기흥서천 1층엘127호,2331000000,799533000,2026-04-29,4,4742
2024타경90490,주거용,경기도 용인시 기흥구 농서동 455 프리미엄원희캐슬기흥서천 지1층비014호,313600000,107564000,2026-04-20,4,4742
2024타경83867,아파트,경기도 용인시 수지구 성복동 731 성동마을엘지빌리지6차 611동 6층602호,862000000,862000000,2026-04-21,1,5308
2025타경888,아파트,경기도 용인시 수지구 성복동 731 성동마을엘지빌리지6차 602동 13층1303호,998000000,998000000,2026-04-17,0,5308
2024타경12230,아파트,경기도 용인시 기흥구 보정동 1169 솔뫼마을현대홈타운 107동 5층501호,850000000,850000000,2026-04-17,1,5314
2024타경4215,아파트,경기도 용인시 기흥구 언남동 384-2 까사90 3층307호,278000000,11218000,2026-04-24,10,5585
2024타경89407,아파트,경기도 용인시 기흥구 마북동 624 연원마을쉐르빌아파트 202동 5층506호,837000000,837000000,2026-04-24,1,5840
2024타경8248,아파트,경기도 용인시 기흥구 고매동 674-3 메종블루아 102동 2층201호,941000000,941000000,2026-04-22,0,5953
2024타경57592,아파트,경기도 용인시 기흥구 언남동 503 스파팰리스리가 101동 20층2002호,1660000000,1660000000,2026-04-21,1,6222
2024타경98104,아파트,경기도 용인시 수지구 신봉동 873 신봉마을엘지자이1차아파트 123동 19층1902호,650000000,650000000,2026-04-21,0,6249
2024타경89551,아파트,경기도 용인시 기흥구 공세동 714 탑실마을대주피오레2단지 201동 5층505호,273000000,273000000,2026-04-21,1,6328
2024타경12834,아파트,경기도 용인시 기흥구 보정동 1162 행원마을동아솔레시티아파트 131동 19층1902호,1330000000,1330000000,2026-04-29,0,6399
2024타경13585,아파트,경기도 용인시 기흥구 언남동 496 하마비마을동일하이빌2차아파트 201동 10층1002호,575000000,575000000,2026-04-20,1,6412
2024타경95020,아파트,경기도 용인시 기흥구 마북동 641 교동마을동양파라곤 106동 11층1102호,786000000,786000000,2026-04-29,0,6553
2024타경73464,10000,경기도 용인시 기흥구 마북동 181-9,380680000,91401000,2026-04-21,5,6648
2024타경92472,아파트,경기도 용인시 수지구 풍덕천동 100-45 리움캐슬 1동 2층204호,434000000,51059000,2026-04-22,7,6664
2024타경92540,아파트,경기도 용인시 수지구 신봉동 642-8 광교산 포레스타 101동 3층302호,386000000,92679000,2026-04-21,5,6913
2024타경8521,아파트,경기도 용인시 기흥구 중동 665-8 강남스타빌 302동 4층402호,385000000,385000000,2026-04-20,0,7391
2024타경10548,아파트,경기도 용인시 수지구 동천동 923 한빛마을래미안이스트팰리스4단지 1411동 6층601호,1510000000,1510000000,2026-04-21,1,7432
2024타경100335,아파트,경기도 용인시 수지구 동천동 568-3 주건축물 1동 4층401호,304000000,304000000,2026-04-24,1,7654
2024타경98838,10000,경기도 용인시 수지구 동천동 산17-14,4837732000,2370488000,2026-04-21,3,7777
2024타경89032,아파트,경기도 용인시 기흥구 중동 1101 어정마을롯데캐슬에코2단지 209동 11층1101호,624000000,624000000,2026-04-21,1,7858
2024타경69380,10000,경기도 용인시 수지구 동천동 604-20,7025092000,3442294000,2026-04-24,3,7900
2024타경7443,아파트,경기도 용인시 수지구 동천동 611-1 동천동아이비카운티1차 101동 1층102호,268000000,268000000,2026-04-22,0,7999
2024타경54180,주거용,경기도 용인시 기흥구 중동 846-2 용인동백역현성더테라스 1층105호,832000000,832000000,2026-04-17,1,8007
2024타경64590,10000,경기도 용인시 수지구 동천동 산10-4,1656647040,568229934,2026-04-28,4,8189
2025타경54381,10000,경기도 용인시 수지구 동천동 698,589638000,589638000,2026-04-29,1,8192
2025타경931,주거용,경기도 용인시 수지구 죽전동 1343-2 단국프라자 1층112호,359000000,359000000,2026-04-29,0,8316
2024타경93673,아파트,경기도 용인시 기흥구 중동 874 백현마을동일하이빌 2102동 19층1903호,580000000,580000000,2026-04-21,1,8612
2024타경86767,10000,경기도 용인시 수지구 동천동 32,120960000,120960000,2026-04-17,0,8878
2024타경6457,10000,경기도 용인시 기흥구 동백동 382-17,8075290000,2769824000,2026-04-21,4,8969
2024타경91783,10000,경기도 용인시 수지구 고기동 259-184,1377838000,1377838000,2026-04-21,1,9263
2024타경80646,10000,경기도 용인시 수지구 고기동 230-18,1234045710,863832000,2026-04-29,2,9970
2024타경80509,10000,경기도 용인시 수지구 고기동 230-43,1275060450,437345000,2026-04-29,4,10029
2024타경13332,10000,경기도 용인시 기흥구 동백동 75-268,1274785600,1274785600,2026-04-17,1,10050
