사건번호,물건종류,소재지,감정가(원),최저매각가(원),매각기일,유찰횟수,거리(m)
2024타경63450,주거용,경기도 용인시 기흥구 농서동 455 프리미엄원희캐슬기흥서천 1층엘138호,960000000,230496000,2026-04-17,5,4742
2024타경72119,주거용,경기도 용인시 기흥구 농서동 455 프리미엄원희캐슬기흥서천 지1층비004호,496000000,496000000,2026-04-21,1,4742
2024타경77459,주거용,경기도 용인시 기흥구 농서동 455 프리미엄원희캐슬기흥서천 1층엘107호,1916000000,1341200000,2026-04-27,2,4742
2024타경82680,주거용,경기도 용인시 기흥구 농서동 455 프리미엄원희캐슬기흥서천 지1층비017호,646000000,316540000,2026-04-29,3,4742
2024타경83966,주거용,경기도 용인시 기흥구 농서동 455 프리미엄원희캐슬기흥서천 1층엘135호,1110000000,1110000000,2026-04-17,1,4742
2024타경84105,주거용,경기도 용인시 기흥구 농서동 455 프리미엄원희캐슬기흥서천 1층엘127호,2331000000,799533000,2026-04-29,4,4742
2024타경90490,주거용,경기도 용인시 기흥구 농서동 455 프리미엄원희캐슬기흥서천 지1층비014호,313600000,107564000,2026-04-20,4,4742
2024타경12230,아파트,경기도 용인시 기흥구 보정동 1169 솔뫼마을현대홈타운 107동 5층501호,850000000,850000000,2026-04-17,1,5314
2024타경4215,아파트,경기도 용인시 기흥구 언남동 384-2 까사90 3층307호,278000000,11218000,2026-04-24,10,5585
2024타경89407,아파트,경기도 용인시 기흥구 마북동 624 연원마을쉐르빌아파트 202동 5층506호,837000000,837000000,2026-04-24,1,5840
2024타경8248,아파트,경기도 용인시 기흥구 고매동 674-3 메종블루아 102동 2층201호,941000000,941000000,2026-04-22,0,5953
2024타경57592,아파트,경기도 용인시 기흥구 언남동 503 스파팰리스리가 101동 20층2002호,1660000000,1660000000,2026-04-21,1,6222
2024타경89551,아파트,경기도 용인시 기흥구 공세동 714 탑실마을대주피오레2단지 201동 5층505호,273000000,273000000,2026-04-21,1,6328
2024타경12834,아파트,경기도 용인시 기흥구 보정동 1162 행원마을동아솔레시티아파트 131동 19층1902호,1330000000,1330000000,2026-04-29,0,6399
2024타경13585,아파트,경기도 용인시 기흥구 언남동 496 하마비마을동일하이빌2차아파트 201동 10층1002호,575000000,575000000,2026-04-20,1,6412
2024타경95020,아파트,경기도 용인시 기흥구 마북동 641 교동마을동양파라곤 106동 11층1102호,786000000,786000000,2026-04-29,0,6553
2024타경73464,기타건물,경기도 용인시 기흥구 마북동 181-9,380680000,91401000,2026-04-21,5,6648
2024타경8521,아파트,경기도 용인시 기흥구 중동 665-8 강남스타빌 302동 4층402호,385000000,385000000,2026-04-20,0,7391
2024타경89032,아파트,경기도 용인시 기흥구 중동 1101 어정마을롯데캐슬에코2단지 209동 11층1101호,624000000,624000000,2026-04-21,1,7858
2024타경54180,주거용,경기도 용인시 기흥구 중동 846-2 용인동백역현성더테라스 1층105호,832000000,832000000,2026-04-17,1,8007
2024타경93673,아파트,경기도 용인시 기흥구 중동 874 백현마을동일하이빌 2102동 19층1903호,580000000,580000000,2026-04-21,1,8612
2024타경6457,기타건물,경기도 용인시 기흥구 동백동 382-17,8075290000,2769824000,2026-04-21,4,8969
2024타경13332,기타건물,경기도 용인시 기흥구 동백동 75-268,1274785600,1274785600,2026-04-17,1,10050
